country,primary_theme,all_themes,text
United States of America,symptoms_presentation,symptoms_presentation,"All - so often, women's symptoms are attributed to ""stress"" or their cycle and disregarded. Women go untreated, or over-treated (think, hysterectomy for a problem that had 12 other less invasive options that aren't even presented to women)."
United States of America,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,I am not familiar with this so cannot answer this question. I was not explicitly aware of said bias.
United States of America,treatment_outcomes_pro_preferences,treatment_outcomes_pro_preferences;treatment_access_general,outcomes and treatment
United States of America,general_all_across_the_board,general_all_across_the_board,all of the above
United States of America,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,Unsure
United States of America,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,"symptoms, treatment outcomes, treatment options"
United States of America,symptoms_presentation,symptoms_presentation,symptoms
United States of America,symptoms_presentation,symptoms_presentation,Symptoms
United States of America,menopause_perimenopause,menopause_perimenopause;fertility_pregnancy_postpartum,Menopause Fertility
United States of America,menopause_perimenopause,menopause_perimenopause;cardiovascular_female_presentation;endometriosis_pcos_fibroids;fertility_pregnancy_postpartum;cancer_female_specific,"fertility, pregnancy, menopause, cardiac issues, endometriosis, fibroids, cancers involved in or around female reproductive organs"
United States of America,symptoms_presentation,symptoms_presentation,Menstrual symptoms impacts in productivity.
United States of America,other,,Women’s health outside of women’s reproductive health
United States of America,symptoms_presentation,symptoms_presentation,"symptoms, figuring out how that connects to specific women's health conditions, concerns and health needs"
United States of America,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,don't know
United States of America,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,"symptoms, treatment options, outcomes"
United States of America,cancer_female_specific,cancer_female_specific;treatment_access_general,"Cancer treatments are all on ""protocol"" vs. individualized"
United States of America,general_all_across_the_board,general_all_across_the_board;treatment_outcomes_pro_preferences,"Across the board - limited publicly avaiable data, limited R&D investment, antiquated medical practices, under-reporting by prospective and patients - all contribute"
United States of America,endometriosis_pcos_fibroids,endometriosis_pcos_fibroids;fertility_pregnancy_postpartum;symptoms_presentation,"post-child birth, pregnancy symptoms, underlying PCOS symptoms that are not just ""textbook"""
United States of America,menopause_perimenopause,menopause_perimenopause,"menopause, peri-menopause"
Canada,symptoms_presentation,symptoms_presentation,"Side effects (and gender based impact on them), symptoms, all outcome reports"
United States of America,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences,"symptoms and patient reported outcomes, also options to aid in shared decision making"
United States of America,pain_management,pain_management;symptoms_presentation,"Pain management, differential symptoms between genders, hormones and health status"
United States of America,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,"symptoms, treatment outcomes, patient reported outcomes, AEs, SAEs."
United States of America,treatment_access_general,treatment_access_general,Treatments
United States of America,general_all_across_the_board,general_all_across_the_board,all of the above
United States of America,other,,I am not very familiar with AI models used for healthcare
Ireland,symptoms_presentation,symptoms_presentation,Symptoms
United States of America,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences,patient-reported outcomes and symptoms
United States of America,symptoms_presentation,symptoms_presentation,"symptoms and causes, how to manage, especially UTI happens mostly in women and are left out area to tackle. We reply on non-FDS approved products a lot."
United States of America,treatment_outcomes_pro_preferences,treatment_outcomes_pro_preferences;treatment_access_general,treatment outcomes
United States of America,symptoms_presentation,symptoms_presentation,Symptoms connected to women's health
United States of America,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,unsure
United States of America,other,,Unaure
Portugal,treatment_outcomes_pro_preferences,treatment_outcomes_pro_preferences,"PROMs, preferences"
United States of America,other,,ensure data is gender-balanced
United States of America,other,,PROs for sure - measurable impact of the challenges that we face.
Austria,cardiovascular_female_presentation,cardiovascular_female_presentation;pharmacokinetics_dosing;symptoms_presentation;treatment_outcomes_pro_preferences;diagnostic_accuracy;treatment_access_general,"Symptoms – e.g., heart disease symptoms, which differ between men and women.  Treatment outcomes – lack of gender-specific data on how women respond to medications and treatments.  Patient-reported outcomes – insufficient data on women's unique experiences and recovery post-treatment.  Preferences – limited inclusion of women's health preferences in AI-driven healthcare decisions.  These gaps can lead to less accurate diagnoses and treatments for women."
,other,,all
United States of America,symptoms_presentation,symptoms_presentation;treatment_access_general,Symptoms and treatment options
United States of America,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,unsure
Canada,other,,Almost every health care area of women’s health outside reproduction is underrepresented in AI models.
Spain,symptoms_presentation,symptoms_presentation,"Symptoms, time to total recovery, preventive measures"
United States of America,intersectional_woc_lmic_age,intersectional_woc_lmic_age;treatment_access_general,"The same specific areas that are underrepresented in current treatment of women, AI simply takes the current problems and makes them larger, and effects more people. We already have trouble having health care providers take women and women of color seriously when they speak about issues, having something like AI confirm these preconceived notions can make these issues much worse than they already are. A lot of health care providers could point to AI results and say look, even the AI agrees with me, but this could be primarily from faulty data, or just health care providers not realizing that data is missing."
United States of America,fertility_pregnancy_postpartum,fertility_pregnancy_postpartum;clinical_trials_representation;intersectional_woc_lmic_age,"We've learned that any AI model's outputs are only as credible/ high quality as the data that feed into them. Since we have a history or clinical trial data that is more reflective of men until regulations were changed that required inclusion of women and other diverse populations, it's going to be some time before the data feeding into those algorithms more accurately reflect the full scope of the broader population, which would include women, pregnant women, ethnic or racial minority women, trans women, etc."
United States of America,menopause_perimenopause,menopause_perimenopause,"menopause, brain fog"
Colombia,symptoms_presentation,symptoms_presentation;treatment_access_general,Symptoms and treatment
United States of America,other,,All of them!
Latvia,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,"Symptoms, treatment outcomes"
United States of America,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,I'm not sure. I haven't really looked at health data generated by AI.
Switzerland,symptoms_presentation,symptoms_presentation,Symptoms
Germany,other,,All the ones listet above
Switzerland,other,,I don`t have enough info to answer.
Canada,symptoms_presentation,symptoms_presentation,symptoms
Switzerland,symptoms_presentation,symptoms_presentation;diagnostic_accuracy,Symptoms to find a good diagnosis and education for health professionals around how it can be different between women and men.
Switzerland,symptoms_presentation,symptoms_presentation;treatment_access_general,"symptoms, treatment"
Spain,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,"symptoms, treatment outcomes, patient reported outcomes, preferences, economic impact"
Switzerland,clinical_trials_representation,clinical_trials_representation;diagnostic_accuracy;treatment_access_general,"Diagnostics, Treatments, Clinical Trials"
Hungary,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,I'm not knowledgeable enough in this area
,menopause_perimenopause,menopause_perimenopause,menopause
Switzerland,symptoms_presentation,symptoms_presentation,Symptoms
Switzerland,menopause_perimenopause,menopause_perimenopause;fertility_pregnancy_postpartum,"fertility, menopause"
Switzerland,cardiovascular_female_presentation,cardiovascular_female_presentation,"Cardiovascular disease, stress-related diseases"
Switzerland,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences,"symptoms, patient reported outcomes, preferences"
Switzerland,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,N/A
Switzerland,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,"symptoms, treatment outcomes"
Switzerland,symptoms_presentation,symptoms_presentation,symptoms
United States of America,clinical_trials_representation,clinical_trials_representation;medical_dismissal_gaslighting;treatment_outcomes_pro_preferences;treatment_access_general,"Starting with clinical trial representation, the data is skewed. This results in treatment outcomes being misrepresented because the study population does not reflect the patient population. Also, with women being expected to deal with it, patient reported outcomes are low or not believed."
United States of America,intersectional_woc_lmic_age,intersectional_woc_lmic_age;general_all_across_the_board,All areas and would also like consideration for men and women of color.
Canada,treatment_outcomes_pro_preferences,treatment_outcomes_pro_preferences;treatment_access_general,Patient report outcomes and treatment outcomes
United States of America,endometriosis_pcos_fibroids,endometriosis_pcos_fibroids,Endometriosis
United States of America,general_all_across_the_board,general_all_across_the_board;treatment_access_general;ai_literacy_unsure_refusal,I honestly don't know enough about AI and healthcare to answer this appropriately - though I'd have to assume all of the above.  Another topic would be treatment options by HCPs.
United States of America,menopause_perimenopause,menopause_perimenopause,"women's body shape and height, menopause, bowel issues, family responsibilities, lack of listening, hormone imbalance,"
Germany,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,"symptoms, preferences, treatment outcomes"
Canada,fertility_pregnancy_postpartum,fertility_pregnancy_postpartum,"anything related to menstrual cycles, fertility"
United States of America,clinical_trials_representation,clinical_trials_representation,clinical trials
United States of America,menopause_perimenopause,menopause_perimenopause,Menopause
United States of America,medical_dismissal_gaslighting,medical_dismissal_gaslighting;pain_management;symptoms_presentation;treatment_access_general,"Symptoms are not believed by treating physicians, and Treatment options are limited to nonexistent. Symptoms even such as extreme fatigue during PMS is not believed and I have been told many times that I should just deal with it."
United States of America,menopause_perimenopause,menopause_perimenopause;fertility_pregnancy_postpartum;clinical_trials_representation;mental_health_neurodiversity;treatment_outcomes_pro_preferences,"Women in clinical trials, pregnant women in clinical trials and outcomes, postpartum women in outcomes and mental health, menopausal women's health-related conditions"
India,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,Not sure
Canada,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,Not aware
United States of America,other,,"generally, we are just beginning to address these issues, historically, most women's issues have been handled by men and not in the interest of women"
Canada,other,,All
Singapore,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,Dont know.
United States of America,ai_literacy_unsure_refusal,ai_literacy_unsure_refusal,I am not familiar with the use of AI models and cannot comment.
United States of America,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,"symptoms, treatments and outcomes"
Belgium,symptoms_presentation,symptoms_presentation;treatment_outcomes_pro_preferences;treatment_access_general,"symptoms, treatment outcomes, clinical study"
